2373501,12988,41,2159,5981,0.941,1,2210,14547,15457,30004,7,3065,1610736,4.34,1.78,1
2412055,13180,55,3989,6958,0.19,1,3911,4793,25222,30015,2,3077,1688792,4.35,1.53,1.73
2412404,14979,63,3843,6883,0.164,1,3620,4221,25793,30014,1,3077,1673356,4.35,1.54,1.91
2413490,14629,29,5280,1657,0.07,3.13,5452,1958,28046,30004,1,3065,1620622,4.34,3.67,3.6
2415615,14979,63,3843,6883,0.164,1,3620,4221,25793,30014,1,3077,1673356,4.35,1.54,1.91
2428508,5687,58,936,19052,3.18,1,892,22825,7178,30003,5,3031,1591064,4.34,1,1
2431376,6343,121,1452,8776,1.558,1,1515,18277,11729,30006,5,3031,1590414,4.34,1.16,1
2433201,11184,112,4209,2977,0.025,3.19,4169,740,29263,30003,1,3077,1658892,4.35,2.93,4.5
2433841,4875,71,1757,7623,1.039,1,1772,15286,14719,30005,6,3065,1614781,4.34,1.38,1
2433864,3809,47,1563,9119,1.188,1,1549,16289,13714,30003,6,3077,1661041,4.35,1.1,1
2433886,3554,59,1382,11216,1.407,1,1329,17537,12467,30004,6,3077,1655105,4.35,1,1
2433919,8023,61,1712,5913,1.698,1,1742,18884,11119,30003,7,3065,1610057,4.34,1.8,1
2434129,5587,91,1598,7785,1.344,1,1683,17206,12798,30004,7,3065,1612952,4.34,1.34,1
2434332,3250,68,1984,7068,0.887,1,1977,14108,15900,30008,7,3065,1610473,4.34,1.5,1
2434366,5484,53,1785,6232,1.131,1,1784,15926,14079,30005,6,3077,1658106,4.35,1.71,1
2434378,7820,54,1707,7263,1.19,1,1753,16304,13699,30003,6,3077,1654166,4.35,1.46,1
2434528,11781,132,1538,5995,1.289,1,1691,16897,13106,30003,6,3077,1655466,4.35,1.78,1
2434563,3046,84,1408,9995,1.631,1,1383,18600,11403,30003,7,3065,1615673,4.34,1,1
2435941,4976,60,1982,6122,0.696,1,1990,12311,17694,30005,5,3077,1657070,4.35,1.74,1
2438934,3465,57,1788,7849,1.233,1,1731,16571,13436,30007,6,3031,1593662,4.34,1.33,1
2443096,3859,47,1825,7088,1.266,1,1849,16761,13244,30005,7,3031,1593065,4.34,1.49,1
2443544,2815,57,2190,7718,1.049,1,2102,15363,14640,30003,8,3031,1590096,4.34,1.36,1
2443555,8125,44,2170,4945,0.867,1,2254,13933,16070,30003,8,3031,1589540,4.34,2.11,1
2443565,3623,57,2039,6461,1.112,1,2040,15797,14206,30003,7,3065,1611357,4.34,1.65,1
2443590,5789,49,2162,5727,1.026,1,2155,15198,14806,30004,9,3031,1590465,4.34,1.85,1
2443678,4078,54,1863,6740,1.383,1,1865,17411,12593,30004,7,3065,1610120,4.34,1.58,1
2443697,2945,54,1726,8649,1.397,1,1694,17489,12515,30004,7,3031,1589257,4.34,1.18,1
2443762,6093,50,1347,6977,1.551,1,1476,18242,11762,30004,6,3065,1613767,4.34,1.52,1
2443777,7109,50,2126,7303,0.73,1,2136,12666,17341,30007,7,3065,1610433,4.34,1.45,1
2443864,5078,67,2168,6264,1,1,2175,15006,15001,30007,7,3031,1591765,4.34,1.7,1
2443884,3960,68,2056,7046,1.327,1,2024,17111,12895,30006,8,3031,1593532,4.34,1.5,1
2445027,15586,57,2326,4453,0.67,1,2431,12037,17967,30004,7,3065,1614333,4.34,2.28,1
2445215,6839,50,2182,5868,0.789,1,2216,13238,16768,30006,7,3065,1610800,4.34,1.81,1
2445964,56644,54,6370,4876,0.025,2.63,5848,734,29268,30002,1,3031,1709140,4.34,2.13,4.5
2447986,7844,49,4307,2825,0.028,3.21,4278,815,29190,30005,1,3065,1610648,4.34,3,4.44
2450049,28381,43,3129,1219,0.186,1.8,3382,4705,25303,30008,3,3065,1610007,4.34,3.96,1.76
2450061,3964,48,2702,5397,0.358,1,2700,7904,22107,30011,4,3065,1610067,4.34,1.96,1
2452584,17775,56,2262,1922,0.58,1,2517,11011,18997,30008,5,3065,1644652,4.34,3.51,1
2452719,43997,60,2341,1430,0.416,1,2750,8818,21189,30007,4,3065,1667720,4.34,3.82,1
2452928,3153,148,982,11769,3.338,1,983,23090,6918,30008,5,3065,1611544,4.34,1,1
2452934,5515,137,774,13149,3.708,1,852,23630,6373,30003,5,3065,1615008,4.34,1,1
2453103,5597,62,1592,6852,1.775,1,1634,19193,10811,30004,7,3065,1611154,4.34,1.55,1
2453107,16128,58,2093,1864,0.77,1,2341,13055,16947,30002,6,3065,1623338,4.34,3.54,1
2456408,15075,29,3598,2024,0.141,1.99,3713,3698,26309,30007,2,3065,1616328,4.34,3.45,2.18
2456992,7128,59,6693,3972,0.029,2.86,6475,841,29165,30006,1,3065,1617304,4.34,2.47,4.42
2457114,17333,71,6284,4847,0.057,2.33,6092,1617,28388,30005,1,3065,1629362,4.34,2.14,3.86
2460389,39592,62,7142,1330,0.041,3.53,7429,1170,28837,30007,1,3065,1613807,4.34,3.89,4.18
2465697,40061,61,8709,1488,1.489,1,8689,17959,12062,30021,1,3065,1815842,4.34,3.78,1
2466667,18294,47,2201,1502,0.536,1,2371,10467,19537,30004,5,3065,1615462,4.34,3.77,1
2466686,1851,49,981,13906,1.32,1,974,17071,12933,30004,4,3065,1611113,4.34,1,1
2467719,16087,34,7307,2219,0.005,3.6,7347,148,29859,30007,1,3065,1626236,4.34,3.33,4.9
2468888,69084,24,9895,596,0.015,4,10318,453,29560,30013,1,3065,1611664,4.34,4.42,4.7
2470961,15640,46,5977,1547,0.042,3.46,5978,1197,28820,30017,1,3065,1632208,4.34,3.74,4.16
